AL
Year,1920,1924,1926,1930,1932,1936,1938,1942,1944,1948,1950,1954,1956,1960,1962,1966,1968,1972,1974,1976,1978,1980,1984,1986,1990,1992,1996,1998,2002,2004,2008,2010,2014,2016
Democrat,67.67837405702389,79.51517147002232,80.8726753763886,100.0,86.24706322853534,87.02280092424397,86.37765710325289,100.0,81.7779284679252,83.99954725523486,76.53998817152508,82.47460710174332,100.0,70.24387074417395,50.856647803541435,60.071417179993226,69.98729045688617,62.26730307991921,95.84379598310689,54.010874111250516,93.9947251312274,47.05391989401252,62.75624729258463,50.28150082061429,60.567149923132355,64.81801547598903,45.47089473434937,36.69136890610443,39.827704333185764,32.354358136140846,36.52044883217139,34.71015463490719,0.0,35.86726158881388
Republican,31.29060296816148,20.484828529977673,19.12732462361139,0.0,13.752936771464663,12.242236205368172,13.621581276323505,0.0,16.945779801331188,16.00045274476514,0.0,17.525392898256683,0.0,29.756129255826043,49.143352196458565,39.00010964256524,22.047441656623207,33.062822816880235,0.0,43.33940448725732,0.0,50.15295849569349,36.35469948965676,49.7184991793857,39.4201934938413,33.085012729758354,52.4407758558008,63.241830671754016,58.577053013880764,67.54515607378963,63.36223194839702,65.17547302286975,97.25164712928895,63.958793625122404
Other,1.031022974814624,0.0,0.0,0.0,0.0,0.7349628703878628,0.0007616204236132796,0.0,1.2762917307436155,0.0,23.46001182847492,0.0,0.0,0.0,0.0,0.9284731774415406,7.965267886490632,4.669874103200555,4.156204016893119,2.6497214014921546,6.005274868772605,2.7931216102939875,0.8890532177586029,0.0,0.012656583026340882,2.0969717942526267,2.0883294098498224,0.0668004221415566,1.5952426529334682,0.10048579006952442,0.11731921943159639,0.11437234222305098,2.7483528707110465,0.17394478606372196
 
 
AZ
Year,1920,1922,1926,1928,1932,1934,1938,1940,1944,1946,1950,1952,1956,1958,1962,1964,1968,1970,1974,1980,1982,1986,1988,1992,1994,1998,2000,2004,2006,2010,2012,2016,2018
Democrat,44.8326211920937,65.03274394237066,58.5329965102349,54.24743838271947,66.66786287826454,72.02725724020443,76.52185175591163,71.61100958858682,69.36786816764702,69.18073968289472,62.80444319581614,48.69367251875478,61.38653000937961,43.944105196118834,54.94049999310544,48.57327522765523,42.78365229349196,44.02004924030643,41.73760135583604,48.38179077093423,56.910973428099766,39.51288704296222,56.7093931590097,31.559125124498124,39.54300931138634,27.16169272066951,0.0,20.620469119024182,43.49939939035173,34.65124636812519,46.20361216035146,40.74891434487282,49.9557943017429
Republican,55.16737880790631,34.967256057629335,41.46700348976509,45.75256161728053,32.06176040479801,25.633517887563883,23.47814824408837,27.980470045367632,30.63213183235299,30.12930255766137,37.195556804183866,51.30632748124522,38.61346999062039,56.055894803881166,45.05950000689455,51.42672477234477,57.21634770650804,55.97995075969357,58.26239864416396,49.45689846472013,40.30322495976571,60.47482909791279,41.05143752162873,55.83121345975663,53.70569942630422,68.7447694615506,79.32252790828845,76.73903501952665,53.340817484093996,58.86007712100319,49.23090706964628,53.710470891798025,47.61129854028926
