Totals
Year,1920,1922,1924,1926,1928,1930,1932,1934,1936,1938,1940,1942,1944,1946,1948,1950,1952,1954,1956,1958,1960,1962,1964,1966,1968,1970,1972,1974,1976,1978,1980,1982,1984,1986,1988,1990,1992,1994,1996,1998,2000,2002,2004,2006,2008,2010,2012,2014,2016,2018
Democrat,38.67953263966753,41.831300972262916,41.46580668124083,44.66628192714978,40.5479768810039,49.4088246159417,55.33963491547128,50.627002688295065,55.8186775746266,49.415501456091384,46.90346003780609,46.6311473604562,50.59616004898437,41.20549276965374,54.40681549158152,47.202556873792155,44.705054605430824,55.213670122936676,50.62146765114955,55.01764113420978,55.09995217030935,50.2978321752138,55.915438185421316,47.91914292195216,49.27050471046995,52.40045537468367,45.490761532667825,55.24368218375242,53.72470930875627,50.54222811298086,51.62269272374667,54.078686743170714,48.87293450953224,50.07585821196664,52.118178251366174,51.124424824869116,49.234905311757565,44.03582617167108,47.93421366610064,49.466273255475635,47.73055871131076,46.108264690146925,51.21565316194936,53.417985929696044,51.87922556682538,44.09197083920448,53.70594092325322,43.893835773830006,52.975966130873985,58.60602159796012
Republican,53.50131672640126,50.92799752675937,54.35125971856463,50.597576996623914,56.17854854616876,48.18736149965414,39.632189394575754,43.54435219640987,37.38427712986252,46.33769022506641,48.14238907536421,49.46883636517901,46.387805150664974,54.59654519070982,44.355292112334595,49.88263427956572,51.87650297574075,43.29465458485415,48.45300806678996,43.17226859647052,44.24976307963792,49.09789375187176,42.68422508366459,51.02911017663857,46.53273607707584,39.86501304901363,52.42466970032444,39.56207170402565,41.50951970380684,47.68384986288666,44.72447881608094,43.44517275438298,50.262548511386306,47.584854946955815,46.205143726786005,47.09066551518634,44.38078112748932,49.931260501940464,49.408533543295476,46.83837958500677,47.65851816751457,50.17350620374448,45.72152428651489,42.011299050606254,44.49898511159887,49.49915372356557,42.03833269528199,51.390199525921645,42.162887278202625,38.51062325556663
Other,7.81915063393122,7.240701500977714,4.182933600194539,4.736141076226296,3.2734745728273444,2.403813884404169,5.028175689952975,5.828645115295065,6.797045295510892,4.246808318842201,4.954150886829709,3.900016274364801,3.016034800350654,4.197962039636442,1.2378923960838835,2.914808846642125,3.418442418828429,1.4916752922091678,0.9255242820604821,1.810090269319688,0.6502847500527315,0.6042740729144505,1.400336730914091,1.05174690140927,4.196759212454204,7.734531576302695,2.0845687670077244,5.194246112221928,4.765770987436889,1.7739220241324818,3.6528284601723957,2.476140502446307,0.8645169790814425,2.33928684107755,1.6766780218478217,1.7849096599445433,6.384313560753109,6.032913326388448,2.657252790603881,3.6953471595175986,4.610923121174663,3.718229106108597,3.0628225515357475,4.5707150196976984,3.621789321575749,6.408875437229949,4.255726381464788,4.7159647002483505,4.861146590923391,2.883355146473255
