AL
Year,1920,1924,1928,1932,1936,1940,1944,1948,1952,1956,1960,1964,1968,1972,1976,1980,1984,1988,1992,1996,2000,2004,2008,2012,2016
Democrat,159965,112966,127797,207910,238196,250726,198918,0,275075,280844,324050,210732,196579,219108,659170,636730,551899,549506,690080,662165,682611,693933,813479,795696,729547
Republican,74556,45005,120725,34675,35358,42184,44540,40930,149231,195694,237981,479085,146923,728701,504070,654192,872849,815576,804283,769044,941173,1176394,1266546,1255925,1318255
Other,3117,8622,460,2449,2190,1309,1285,174050,1814,20323,8194,0,706415,65187,19910,51007,16965,13394,193697,103140,32488,13088,19794,22717,75570
 
 
AZ
Year,1920,1924,1928,1932,1936,1940,1944,1948,1952,1956,1960,1964,1968,1972,1976,1980,1984,1988,1992,1996,2000,2004,2008,2012,2016
Democrat,29554,26235,38537,79264,86722,95267,80926,95251,108528,112880,176781,237753,170514,198540,295602,246843,333854,454029,543050,653288,685341,893524,1034707,1025232,1161167
Republican,37016,30516,52533,36104,33433,54030,56287,77597,152042,176990,221241,242535,266721,402812,418642,529688,681416,702541,572086,622073,781652,1104294,1230111,1233654,1252401
Other,0,17210,184,2883,4008,742,421,4217,0,303,469,482,49701,52153,28475,97414,10627,15303,371839,129044,65023,14767,28657,40368,159597
 
 
AR
Year,1920,1924,1928,1932,1936,1940,1944,1948,1952,1956,1960,1964,1968,1972,1976,1980,1984,1988,1992,1996,2000,2004,2008,2012,2016
Democrat,107409,84795,119196,189602,146765,158622,148965,149659,226300,213277,215049,314197,184901,198899,498604,398041,338646,349237,505823,475171,422768,469953,422310,394409,380494
Republican,71117,40564,77751,28467,32039,42121,63551,50959,177155,186287,184508,243264,189062,445751,267903,403164,534774,466578,337324,325416,472940,572898,638017,647744,684872
Other,5111,13173,746,2493,619,0,438,41857,1345,7008,28952,2965,235627,3016,1028,36377,10986,11923,107506,83675,26073,12094,26290,27315,65269
 
 
CA
Year,1920,1924,1928,1932,1936,1940,1944,1948,1952,1956,1960,1964,1968,1972,1976,1980,1984,1988,1992,1996,2000,2004,2008,2012,2016
Democrat,229191,105514,614365,1324157,1766836,1877618,1988564,1913134,2197548,2420135,3224099,4171877,3186270,3431824,3742284,3082943,3922519,4702233,5121325,5119835,5861203,6745485,8274473,7854285,8753788
Republican,624992,733250,1162323,847902,836431,1351419,1512965,1895269,2897310,3027668,3259722,2879108,3407851,4544134,3882244,4522994,5467009,5054917,3630574,3828381,4567429,5509826,5011781,4839958,4483810
Other,89161,443014,19968,94913,35615,39754,19346,213135,46991,18552,22757,5701,508657,283942,179242,977001,115513,129915,2375453,1071253,537190,166042,275646,344304,943997
 
 
CO
Year,1920,1924,1928,1932,1936,1940,1944,1948,1952,1956,1960,1964,1968,1972,1976,1980,1984,1988,1992,1996,2000,2004,2008,2012,2016
Democrat,107936,75238,133131,250877,295021,265554,234331,267288,245504,263997,330629,476024,331063,329980,460801,368009,454975,621453,629681,671152,738227,1001732,1288576,1323101,1338870
Republican,173248,195171,253872,189617,181267,279576,268731,293714,379782,394479,402242,296767,409345,597189,584278,352264,821817,728177,562850,691848,883748,1101255,1073589,1185243,1202484
Other,13869,71851,5239,17202,12388,3874,1977,8235,4817,4598,3375,4195,66680,26715,36361,164177,18588,22764,380930,147702,119389,26643,39196,61172,238866
 
 
CT
Year,1920,1924,1928,1932,1936,1940,1944,1948,1952,1956,1960,1964,1968,1972,1976,1980,1984,1988,1992,1996,2000,2004,2008,2012,2016
Democrat,120721,110184,252040,281632,382189,417621,435146,423297,481649,405079,657055,826269,621561,555498,647895,541732,569597,676584,682318,735740,816015,857488,997772,905083,897572
Republican,229238,246322,296614,288420,278685,361021,390527,437754,611012,711837,565813,390996,556721,810763,719261,677210,890877,750241,578313,483109,561094,693826,629428,634892,673215
Other,15559,43789,4377,24155,29909,2860,6317,22467,4250,205,0,1313,77950,18016,19199,187343,6426,16569,355525,173765,82416,27455,19592,18229,74133
 
 
DE
Year,1920,1924,1928,1932,1936,1940,1944,1948,1952,1956,1960,1964,1968,1972,1976,1980,1984,1988,1992,1996,2000,2004,2008,2012,2016
Democrat,39911,33445,36643,54319,69702,74599,68166,67813,83315,79421,99590,122704,89194,92283,122461,105754,101656,108647,126054,140355,180068,200152,255459,242584,235603
Republican,52858,53441,68860,57073,54014,61440,56747,69588,90059,98057,96373,78078,96714,140357,109780,111252,152190,139639,102313,99062,137288,171660,152374,165484,185127
Other,2106,4999,388,1509,3887,335,448,1672,651,510,0,538,28459,2876,3401,18662,726,1605,61253,31393,10173,3378,4579,5822,20860
 
 
FL
Year,1920,1924,1928,1932,1936,1940,1944,1948,1952,1956,1960,1964,1968,1972,1976,1980,1984,1988,1992,1996,2000,2004,2008,2012,2016
Democrat,90515,62083,101764,206307,249117,359334,339377,281988,444950,480371,748700,948540,676794,718117,1636000,1419475,1448816,1656701,2072698,2546870,2912253,3583544,4282074,4237756,4504975
Republican,92380,30633,144168,69170,78248,126158,143215,194280,544036,643849,795476,905941,886804,1857759,1469531,2046951,2730350,2618885,2173310,2244536,2912790,3964522,4045624,4163447,4617886
Other,10313,16438,7742,775,0,0,0,101375,351,0,0,0,624207,7407,45100,220501,885,26727,1068384,511748,138067,61744,63046,72976,297178
 
 
GA
Year,1920,1924,1928,1932,1936,1940,1944,1948,1952,1956,1960,1964,1968,1972,1976,1980,1984,1988,1992,1996,2000,2004,2008,2012,2016
Democrat,107162,123200,129602,234118,255364,265194,268187,254646,456823,444388,458638,522577,334439,289529,979409,890955,706628,714792,1008966,1053849,1116230,1366149,1844123,1773827,1877963
Republican,41089,32300,63498,19863,36942,23934,56506,76691,198979,222778,274472,616600,366611,881496,483743,654168,1068722,1081331,995252,1080843,1419720,1914254,2048759,2078688,2089104
Other,0,13077,36059,1609,872,23411,3418,87423,1,1754,239,0,535678,3747,0,51682,753,13549,316915,164207,47258,21472,31604,45324,147665
 
 
ID
Year,1920,1924,1928,1932,1936,1940,1944,1948,1952,1956,1960,1964,1968,1972,1976,1980,1984,1988,1992,1996,2000,2004,2008,2012,2016
Democrat,46579,24256,53074,109479,125683,127842,107399,107370,95081,105868,138853,148920,89273,80826,126549,110192,108510,147272,137013,165443,138637,181098,236440,212787,189765
Republican,88975,69879,99848,71312,66256,106553,100137,101514,180707,166979,161597,143557,165369,199384,204151,290699,297523,253881,202645,256595,336937,409235,403012,420911,409055
Other,38,54160,1308,5729,7684,773,785,5932,444,142,0,0,36541,30169,10232,36540,5111,7815,142456,69673,26041,8043,15670,18576,91435
 
 
IL
Year,1920,1924,1928,1932,1936,1940,1944,1948,1952,1956,1960,1964,1968,1972,1976,1980,1984,1988,1992,1996,2000,2004,2008,2012,2016
