Totals
Year,1920,1924,1928,1932,1936,1940,1944,1948,1952,1956,1960,1964,1968,1972,1976,1980,1984,1988,1992,1996,2000,2004,2008,2012,2016
Democrat,34.16142139330311,29.039812524730056,40.878097041188894,57.32938540124479,60.16498635275297,53.85133300780897,51.58784523452502,48.99533073002599,44.377394637571506,41.49605953922332,49.72200022008536,60.80068854707685,42.310557377268275,37.211610354180976,49.84617962128109,41.16269773576872,40.41838536950322,45.548827081654025,42.884925085613304,49.19174485793576,48.3540995252027,48.14837079011998,52.92215189012649,50.94038015434206,48.04050072147219
Republican,60.60520936547952,54.46115455106315,58.0243994169686,39.701892704040816,36.559786088702594,44.77356544649633,45.729318758296394,45.326653889902666,54.87910710348831,57.363675921183365,49.548474165573204,38.54140786143965,43.42303220346946,60.235736868252275,48.16363061342067,50.28332242496849,58.46055843636773,53.1110158158838,37.092555660636016,40.649245690717315,47.85156024574808,50.60516663177837,45.6498199259107,47.00325503304957,45.84329747480639
Other,5.233369241217369,16.49903292420679,1.0975035418425063,2.9687218947143954,3.275227558544442,1.3751015456946993,2.6828360071785875,5.67801538007134,0.7434982589401834,1.140264539593316,0.7295256143414308,0.6579035914834963,14.26641041926226,2.552652777566748,1.9901897652982412,8.5539798392628,1.1210561941290604,1.3401571024621746,20.022519253750676,10.159009451346932,3.794340229049219,1.2464625781016525,1.428028183962819,2.05636481260837,6.116201803721423
