Totals
Year,1920,1922,1924,1926,1928,1930,1932,1934,1936,1938,1940,1942,1944,1946,1948,1950,1952,1954,1956,1958,1960,1962,1964,1966,1968,1970,1972,1974,1976,1978,1980,1982,1984,1986,1988,1990,1992,1994,1996,1998,2000,2002,2004,2006,2008,2010,2012,2014,2016,2018
Democrat,34.66475661023006,43.129259165997766,35.737867394814096,42.10138916641832,41.0137513374511,46.639592194603516,55.7761800359862,52.17514699849861,57.68018935452086,49.21546838354825,50.68054553915672,46.24432739506273,50.94474117003303,42.93316775629676,50.94276365843291,48.14953020219207,46.1694461017996,53.11196884283257,47.21058407020264,55.33850250637668,52.594356581000255,51.29171665068376,58.08028006254039,49.66696200381522,46.8422101027967,52.74050389974624,44.337680180515115,56.12483837436844,52.910051400384106,52.41565839678671,47.123578236396135,54.58140198844479,46.46291340992475,52.29339283552142,49.993079433938995,51.6432487727725,47.051571254583514,44.42734791031288,48.61810040307237,48.58049916069909,47.9605556645445,45.91465422912419,48.67298610523394,52.89259331905558,53.02407740535497,44.549924815946206,50.882708953940934,44.11530019569872,49.244863749327585,55.51437855690806
Republican,59.002249048159584,51.67150335874262,55.562434436191424,54.39228253633092,57.079351834742496,50.749203036061296,39.586046703102255,42.101998755928925,38.07266102171279,46.562025921311765,46.30096021604224,50.24224816084217,46.45781190336587,53.96086685675979,45.25036662918985,49.33084382721853,52.10944653026218,45.81701338354294,51.898224354273516,43.35507020380882,46.655291398238155,48.02034477426956,41.02622288413995,48.99539817619798,45.90948369610353,42.29008042245673,53.46131802357752,40.2392423392984,44.29225160255948,45.70664260743165,47.880709411773495,43.31775503731325,52.39860715373095,45.70165464514901,48.53152044666015,45.06415466851021,41.71653874308486,50.813457794063886,45.43829491697619,47.67232897718861,47.8725607483203,50.384991947968686,49.03917877317676,43.46572905494167,44.41828945999927,50.65191861298073,45.78326967007168,51.29748979049148,45.89873170917441,41.90781560454289
Other,6.3329943416103625,5.199237475259612,8.699698168994484,3.506328297250768,1.9068968278064022,2.6112047693351914,4.637773260911538,5.72285424557246,4.247149623766347,4.222505695139986,3.018494244801034,3.513424444095095,2.597446926601094,3.105965386943449,3.806869712377243,2.5196259705894,1.7211073679382183,1.0710177736244841,0.8911915755238466,1.3064272898144984,0.7503520207615845,0.6879385750466814,0.8934970533196649,1.3376398199868003,7.248306201099777,4.9694156777970235,2.201001795907366,3.6359192863331633,2.7976969970564065,1.8776989957816392,4.995712351830369,2.1008429742419574,1.1384794363442978,2.0049525193295623,1.47540011940085,3.292596558717282,11.231890002331623,4.759194295623229,5.943604679951444,3.747171862112291,4.166883587135197,3.700353822907126,2.2878351215893082,3.641677626002754,2.557633134645755,4.798156571073061,3.334021375987375,4.587210013809799,4.856404541498004,2.577805838549052
