Year,State,Race,Division,Total,Democrat,Republican,Prohibitionist,Socialist,Ind. Prog.,Ind.,Scattering,Unaffiliated,Prohib.-Dem.-Soc.,Farmer-Labor,Workers,Soc.-Lab.,Soc. And Prog.,Prog.,American,Commonwealth Land,Ind. Rep.,La Follette Ind.,Soc.-Ind.,Beer-Wine Ind.,Liberal,Ind. Party of Montana,Nat. Prohib.,Com.,Soc. - La Follette,La Folette-Prog.,War Vet.,Ind. Org.,Ind. Wet,Dem. And Prog.,Nonp.,Industrialist,Dem.-Lab.,Wet Ind.,Dem.-Ind.,Lab.,Dem.-Soc.-Lab.,Rep.-Prohib.,Dem.-Prohib.,Prohib.-Lab,Dem.-Prohib.-Am.-Lab.,Liberal Ind.
1924,OH,Representative,8,,38439,33258,,,,555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,OH,Representative,9,,48482,54792,2159,,,747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,OH,Representative,10,,17923,32617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,OH,Representative,11,,35696,24270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,OH,Representative,12,,41291,58705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,OH,Representative,13,,27623,45307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,OH,Representative,14,,62314,30251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,OH,Representative,15,,30608,39155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,OH,Representative,16,,51491,45559,,,,2901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,OH,Representative,17,,36532,50226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,OH,Representative,18,,26656,56206,,,,1931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,OH,Representative,19,,21926,67581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,OH,Representative,20,,34173,22507,,,,,,,,,569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,OH,Representative,21,,24889,21629,,,,,,,,,272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,OH,Representative,22,,32970,95174,,,,25489,,,,,259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,OK,President,All,,255798,226242,,5234,,,,,,41141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,OK,Senator,All,,196473,341518,,,,,,,,15936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,OK,Representative,1,,45805,45945,,,,,,,,1432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,OK,Representative,2,,30355,24413,,,,,,,,512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,OK,Representative,3,,88674,15425,,,,,,,,2637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,OK,Representative,4,,36435,23313,,,,,,,,2255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,OK,Representative,5,,44681,28817,,,,,,,,1998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,OK,Representative,6,,29229,21915,,,,,,,,2236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,OK,Representative,7,,25573,10314,,,,,,,,3035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,OK,Representative,8,,29445,34052,,,,,,,,2980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,OR,President,All,,67589,142579,,,68403,,,,,,,917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,OR,Senator,All,,65340,174672,,,,,,,,,,4412,,20379,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,OR,Representative,1,,25293,72910,,,,13494,,,,,,3061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,OR,Representative,2,,18652,29937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,OR,Representative,3,,39731,50834,,,,,,,,,,2447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,PA,President,All,,409192,1401481,9779,93441,,,131,,,,2735,,,,13035,296,,,,,,,,,,,,,,,,636,,,,,,,,,,
1924,PA,Representative,1,,7294,59287,,3300,,,,,,,,,,337,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,PA,Representative,2,,6355,37645,57,1462,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,PA,Representative,3,,4092,39171,88,,,,,,,,,3301,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,PA,Representative,4,,8365,40783,,3237,,,6,,,,,,,,,58,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,PA,Representative,5,,7525,47033,363,3118,,,,,,,,,,,,54,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,PA,Representative,6,,,66340,559,3952,,,1,,,,,,,,,54,,,,,,,,,,,,,,,,,17457,553,,,,,,,,
1924,PA,Representative,7,,9999,55990,,3268,,,1,,,,,,,,,128,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,PA,Representative,8,,,63480,779,1558,,,,,,,,,,,,37,,,,,,,,,,,,,,12816,,,,,,,,,,,,
1924,PA,Representative,9,,18843,60316,2045,1899,,,3,,,,,,,,,44,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,PA,Representative,10,,,35257,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,22503,595,,,,,,
1924,PA,Representative,11,,,35461,202,,,,,,,,,,,1375,,,,,,,,,,,,,,,,,,,,,,,25471,,,,,
1924,PA,Representative,12,,35562,44483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,PA,Representative,13,,14637,35737,,1075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,PA,Representative,14,,36582,43335,,5884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,PA,Representative,15,,,27566,,669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11854,,,,,,,,,
1924,PA,Representative,16,,18246,26865,,,,,,,,,,3317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,PA,Representative,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24321,,,,,27969,,,,
1924,PA,Representative,18,,,35402,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,18048,,,,,,,,,
1924,PA,Representative,19,,33038,39195,,667,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,PA,Representative,21,,7290,27335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4748,,,,,,
1924,PA,Representative,22,,22784,26924,,685,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,PA,Representative,23,,,31205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17008,,,,,,,,,
1924,PA,Representative,24,,11810,31443,,,,,,,,,,,,1061,1596,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,PA,Representative,25,,15641,27192,,,,,,,,653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,PA,Representative,26,,,38723,,2265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15307,,,
1924,PA,Representative,27,,10119,33267,11208,1899,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,PA,Representative,28,,11409,43247,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,PA,Representative,29,,10304,27502,,1603,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8261,,
1924,PA,Representative,30,,28723,31036,,459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,PA,Representative,31,,,36314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23790,
1924,PA,Representative,32,,5055,31102,,1377,,,,,,,323,,,1241,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,PA,Representative,33,,6017,37314,,2167,,,,,,,511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,PA,Representative,34,,3289,22669,370,992,,,,,,,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,PA,Representative,35,,5755,28381,1678,,,2544,2,,,,,9039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,PA,Representative,36,,5048,34266,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,RI,President,All,,76606,125286,,,7628,,,,,,289,268,,,,38,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,RI,Senator,Early,,88138,116572,,,,,,,,,1214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,845
1924,RI,Senator,Late,,87620,120815,,,,,,,,,475,297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,419
1924,RI,Representative,1,,23958,44952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,RI,Representative,2,,25361,44870,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,RI,Representative,3,,32953,35224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,SC,President,All,,49008,1123,,,620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,SC,Senator,All,,50751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,SC,Representative,1,,5531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,SC,Representative,2,,6695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,SC,Representative,3,,8331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,SC,Representative,4,,7718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,SC,Representative,5,,7689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,SC,Representative,6,,6278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,SC,Representative,7,,7249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,SD,President,All,,27214,101299,,,75355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,SD,Senator,All,,63818,90310,,,,20822,,,,23962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,SD,Representative,1,,19904,39138,,,,,,14107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,SD,Representative,2,,8043,44769,,,,,,21530,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,SD,Representative,3,,10026,28150,,,,,,10072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,TN,President,All,,158537,130882,100,,10656,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,TN,Senator,All,,147871,109859,,,,,,242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,TN,Representative,1,,11362,23445,,,,,,2668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,TN,Representative,2,,1118,28975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,TN,Representative,3,,22857,17350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,TN,Representative,4,,16908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,TN,Representative,5,,11373,2551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,TN,Representative,6,,19756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,TN,Representative,7,,13547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,TN,Representative,8,,16482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,TN,Representative,9,,18464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,TN,Representative,10,,16306,2801,,,,,,2923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,TX,President,All,,484605,130023,,,42881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,TX,Senator,All,,591913,101208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,TX,Representative,1,,28218,2826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,TX,Representative,2,,41188,4625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,TX,Representative,3,,30618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,TX,Representative,4,,31825,3111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,TX,Representative,5,,43781,6193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,TX,Representative,6,,33169,2440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,TX,Representative,7,,23947,2941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,TX,Representative,8,,35189,5712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,TX,Representative,9,,31444,6742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,TX,Representative,10,,36681,3850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,TX,Representative,11,,29247,3918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,TX,Representative,12,,32186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,TX,Representative,13,,32721,4197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,TX,Representative,14,,19165,31784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,TX,Representative,15,,22776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,TX,Representative,16,,18918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,TX,Representative,17,,44377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,TX,Representative,18,,42399,4887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,UT,President,All,,47001,77327,,,32662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,UT,Representative,1,,33644,40883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,UT,Representative,2,,32045,41888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,VT,President,All,,16124,80498,326,,5964,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,VT,Representative,1,,11457,36278,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,VT,Representative,2,,8479,41099,,,,,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,VA,President,All,,139797,73359,,,10379,,,,,,,191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,VA,Senator,All,,151498,50092,,,,,,,,,,,,5594,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,VA,Representative,1,,16958,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,VA,Representative,2,,11795,6145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,VA,Representative,3,,20864,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,VA,Representative,4,,12106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,VA,Representative,5,,16371,5181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,VA,Representative,6,,13917,6251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,VA,Representative,7,,13013,7294,,,,,,1692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,VA,Representative,8,,14113,3551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,VA,Representative,9,,31407,28341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,VA,Representative,10,,14472,6288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,WA,President,All,,42842,220224,,,150727,,,,,,761,1004,,,5991,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,WA,Representative,1,,13922,53152,,406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,WA,Representative,2,,27154,37636,,,,751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,WA,Representative,3,,134,60272,,,,,,,,,,,,25146,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,WA,Representative,4,,12254,37008,,,,,,,,7380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,WA,Representative,5,,36844,32815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,WV,President,All,,257232,288635,,14903,,,,,,21820,,,,,1072,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,WV,Senator,All,,271809,290004,,7751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,WV,Representative,1,,38417,47318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,WV,Representative,2,,40474,41825,,1143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,WV,Representative,3,,42626,45995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,WV,Representative,4,,44877,47136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,WV,Representative,5,,47716,50629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,WV,Representative,6,,56570,55089,,,,,,,,1977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,WI,President,All,,68115,311614,2918,,453678,,,,,,3773,411,,,,270,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,WI,Representative,1,,23612,60770,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,WI,Representative,2,,18696,44617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,WI,Representative,3,,16968,56868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,WI,Representative,4,,,30837,,19770,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,WI,Representative,5,,,31702,,32211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,WI,Representative,6,,19128,45982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,WI,Representative,7,,10228,47075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,WI,Representative,8,,,47423,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,WI,Representative,9,,18449,45159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,WI,Representative,10,,10481,46563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,WI,Representative,11,,13455,48234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,WY,President,All,,12868,41858,,,25174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,WY,Senator,All,,33536,41293,,,,805,,,,,,,,2224,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,WY,Representative,All,,28537,43026,,,,1783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
