Year,State,Race,Division,Democrat,Republican,Prohibitionist,Socialist,Scattering,"Dem., Oak","Rep., Oak.",Oak,Pathfinders,State Rights,"Dem., Oak., Nonp.",Am. Lab.,"Dem., Am Lab","Rep., Am. Lab.","Am. Lab., Rep.",Town.,"Dem., Rep.","Rep., Dem., Prog., Town.","Dem., Prog.","Rep., Dem., Prog.","Dem., Prog. Town.","Rep., Dem.","Rep., Town.",Ind. Prog.,"Rep., Union","Dem., Union",Soc.-Lab.,Lab.,Communist,Ind.,Unaffiliated,Prog.,Farm-Lab.,Union,Lab. MD,Nat. Prohib,Town. Pension-Labor,Indus. Govt.,Pathfinders,Ind. Town. Rep.,Ind. Com.,Ind. Soc.-Lab.,Ind. Rep.,Prog. Lab.,Const. Dem.,Common.,Roose. Lib. Ind.,Roose. Ind.,Independent Peoples,Farmer's Laborer's Friend,Prog. Ind.,Kenney,Liberal Lab. Choice,Soc. Workers,Create Steady Employment,Citizens' Ind.,"Andrew Jackson, Rep.","Am. Lab., Soc.","Dem., City Fusion",Freedom,"Rep., Soc.","Am. Lab, Town.","Dem., Am Lab., General Welfare","Dem., Am. Lab., Soc.",Indus. Gvt.,"Dem., Oak, Prohib.","Rep., Prohib., Nonp.","Dem., Ind. Citizen, Nonp.","Rep., Good Gvt.",Ind. Soc.
1938,PA,Senator,All,1694367,2086931,9327,20155,104,,,,,,,,,,,,,,,,,,,,,,,,1530,,,,,,,,,,2508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938,SC,Senator,All,45351,508,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938,SD,Senator,Early,112177,155292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938,SD,Senator,Late,133064,146813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938,TN,Senator,All,194028,72098,,,,,,,,,,,,,,,,,,,,,,,,,,,,9106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938,UT,Senator,All,102353,81071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938,VT,Senator,All,38673,73990,,,161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938,WA,Senator,All,371535,220204,,,,,,,,,,,,,,,,,,,,,,,,,1553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938,WI,Senator,All,231976,446770,,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,249209,,,,,,,,7251,1283,1014,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938,AL,Representative,1,9853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938,AL,Representative,2,15569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938,AL,Representative,3,10089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938,AL,Representative,4,11115,1488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938,AL,Representative,5,16587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938,AL,Representative,6,10249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938,AL,Representative,7,17903,7207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938,AL,Representative,8,10266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938,AL,Representative,9,12627,878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938,AZ,Representative,All,83556,20502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938,AR,Representative,1,23274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938,AR,Representative,2,18513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938,AR,Representative,3,22141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938,AR,Representative,4,22272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938,AR,Representative,5,23949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938,AR,Representative,6,17662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
