Year,State,Race,Division,Democrat,Republican,Prohibitionist,Socialist,Communist,Unaffiliated,Ind.,Prog.,Scattering,Ind. Gvt.,Am. Lab.,Farm-Lab.,Soc.-Lab.,"Rep., Dem., Prog.","Dem., Rep.","Rep., Dem., Prog., Town.","Dem., Prog.","Rep., Dem.","Prohib., Prog.","Rep., Prog.",Peace,Union,Liberal Dem.,Ind. Dems.,Labor Party of MD,Indus.,Ind. Rep.,Const. Ind.,Soc. Work.,Ind. Prog.,Buono Food Plan,Lib. Ind.,Nat. Prohib.,$15 Pension,Ind. Lincoln Princ.,Ind. For Lab.,Keep Am. Neutral,Jersey Pens.,Fusion,Roose. New Deal,Workers,Individ.,No Wage Tax,State Rights,Am. Way.,Prog. Lab.,Jeff. Dem.,Tolb. Rep.
1940,NE,Representative,3,19253,90561,,,,3461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,NE,Representative,4,29311,66966,,,,19807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,NE,Representative,5,63025,45548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,NV,President,All,31945,21229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,NV,Senator,All,31351,20488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,NV,Representative,All,32714,18032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,NH,President,All,125292,110127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,NH,Representative,1,55434,57982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,NH,Representative,2,49260,55530,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,NJ,President,All,1016808,945475,873,2433,6508,,,,,,,,455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,NJ,Senator,All,823893,1029331,645,8836,1519,,,,,,,,464,,,,,,,,,,,,,,,2784,303,,,,,,,,,,,,,,,,,,,
1940,NJ,Representative,1,77931,97547,110,257,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,NJ,Representative,2,60392,55382,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,NJ,Representative,3,76048,70890,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,NJ,Representative,4,54909,69834,29,66,,,,,,,,,,,,,,,,,,,,,,,,,,32,,,,,,,,,,,,,,,,,,
1940,NJ,Representative,5,65200,82840,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,NJ,Representative,6,62888,78361,864,211,309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,NJ,Representative,7,44527,82287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,375,67,40,,,,,,,,,,,,,,,
1940,NJ,Representative,8,50622,72197,,,,,19,,,,,,134,,,,,,,,,,,,,,,,,,,,45,163,,,,,,,,,,,,,,
1940,NJ,Representative,9,54254,91352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,,,,,,,,,,,,,,,
1940,NJ,Representative,10,46934,64699,,1527,158,,,,,,,,40,,,,,,,,,,,,,,,,,,,,18,,240,205,,,,,,,,,,,,
1940,NJ,Representative,11,46130,61606,,,198,,293,,,,,,,,,,,,,,,,,,,,,,,,,,1978,,,,128,,,,,,,,,,,
1940,NJ,Representative,12,53677,67996,,122,337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2255,2014,98,,,,,,,,
1940,NJ,Representative,13,92356,39274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,,,,,,,,
1940,NJ,Representative,14,84538,44839,,64,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,
1940,NM,President,All,103699,79315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,NM,Senator,All,103194,81257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,NM,Representative,All,106972,75085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,NY,President,All,2834500,3027478,3250,18950,,,,,,,417418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,NY,Senator,All,2893407,2868852,,,,,,,,,381359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,NY,Representative,1,141774,276873,,,,,,,,,10879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,NY,Representative,2,216309,170004,,,2570,,,,,,20827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,NY,Representative,3,37939,17839,,,,,,,,,4945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,NY,Representative,4,36995,25207,,,,,,,,,3636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,NY,Representative,5,54723,51428,,,,,,,,,8572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,NY,Representative,6,130391,58507,,,5287,,,,,,31945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,NY,Representative,7,42945,18765,,,,,,,,,7244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,NY,Representative,8,217599,103753,,,8711,,,,,,52972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,NY,Representative,9,80816,67901,,,,,,,,,11743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,NY,Representative,10,46280,21358,,,1564,,,,,,11006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,NY,Representative,11,46616,42631,,,,,,,,,5193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,NY,Representative,12,17176,2976,,,,,,,,,3664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,NY,Representative,13,18334,8367,,,,,,,,,2534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,NY,Representative,14,26455,13940,,,,,,,,,6103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,NY,Representative,15,26314,13158,,,,,,,,,4623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,NY,Representative,16,28837,31020,,,,,,,,,3874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,NY,Representative,17,45339,53316,,,,,,,,,5625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,NY,Representative,18,31151,24312,,,,,,,,,3612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,NY,Representative,19,71018,32821,,,,,,,,,9209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,NY,Representative,20,15160,14737,,,,,,,,,10517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,NY,Representative,21,108139,46324,,,,,,,,,16529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,NY,Representative,22,44296,23532,,,,,,,,,5931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,NY,Representative,23,190396,88083,,,8081,,,,,,50293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,411,,,,,,,
1940,NY,Representative,24,161577,136835,,,5350,,,,,,35233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,NY,Representative,25,64889,125412,,,,,,,,,5742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,NY,Representative,26,59739,68715,,,,,,,,,4071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,NY,Representative,27,47610,65618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,NY,Representative,28,89592,59344,,,,,,,,,6134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,NY,Representative,29,43588,82328,,,,,,,,,3308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,NY,Representative,30,51270,66159,,,,,,,,,3254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,NY,Representative,31,32937,58727,,,,,,,,,2370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,NY,Representative,32,30105,71782,,,,,,,,,2483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,NY,Representative,33,52469,72412,,,,,,,,,3405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,NY,Representative,34,41027,93990,,,,,,,,,2563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,NY,Representative,35,69730,97688,,,,,,,,,4508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,NY,Representative,36,40929,64507,,,,,,,,,2814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,NY,Representative,37,38878,76630,,,,,,,,,2552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,NY,Representative,38,79966,92866,,,,,,,,,6231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,NY,Representative,39,45285,73316,,,,,,,,,2848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,NY,Representative,40,71036,119972,,,,,,,,,5432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,NY,Representative,41,57204,57335,,,,,,,,,5639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,NY,Representative,42,58356,44866,,,227,,,,,,5894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,NY,Representative,43,39205,67520,,,,,,,,,1775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,NY,Representative,At Large,5652614,5642583,10891,,,,,,,,729341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,NC,President,All,609015,213633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,NC,Representative,1,36722,2851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,NC,Representative,2,41217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,NC,Representative,3,33760,11248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,NC,Representative,4,57610,14926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,NC,Representative,5,53778,15872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,NC,Representative,6,55549,15259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,NC,Representative,7,41663,7168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,NC,Representative,8,57879,28323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,NC,Representative,9,60875,28287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,NC,Representative,10,87156,37736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,NC,Representative,11,75763,34104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,ND,President,All,124036,154590,325,1279,,545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,ND,Senator,All,69847,100647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93607,,,,,,
1940,ND,Representative,All,126689,259352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44244,,,,,,
1940,OH,President,All,1733139,1586773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,OH,Senator,All,1457304,1602498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,OH,Representative,1,61382,84622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,OH,Representative,2,60410,77769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,OH,Representative,3,103291,93002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,OH,Representative,4,47765,65534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,OH,Representative,5,31063,48040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,OH,Representative,6,52769,48257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,OH,Representative,7,59667,83415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,OH,Representative,8,44605,49218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,OH,Representative,9,86956,71927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,OH,Representative,10,33698,48217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,OH,Representative,11,43548,37398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,OH,Representative,12,87115,91767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,OH,Representative,13,40274,62442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,OH,Representative,14,121037,108016,,,,,2527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,OH,Representative,15,57359,40233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,OH,Representative,16,92469,71629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,OH,Representative,17,56343,69102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,OH,Representative,18,79718,66666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,OH,Representative,19,122075,75016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,OH,Representative,20,72395,34605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,OH,Representative,21,79602,23658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,OH,Representative,22,126273,165322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,OH,Representative,At Large,2868624,2906186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,OK,President,All,474313,348872,3027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,OK,Representative,1,93366,56112,451,,,,212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,OK,Representative,2,50351,30630,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,OK,Representative,3,68344,18145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,OK,Representative,4,69040,28046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,OK,Representative,5,93457,34942,566,,,,183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,OK,Representative,6,52338,22343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,OK,Representative,7,39884,16246,,,,,840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,OK,Representative,8,41417,48737,391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,OK,Representative,At Large,479433,245384,3267,,,,1639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,OR,President,All,258415,219555,154,398,191,,,,40,,,,2487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,OR,Representative,1,63940,145675,,,,,,,4,,,,3524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,OR,Representative,2,44832,33529,,,,,,,,,,,1344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,OR,Representative,3,80930,84275,,,,,2642,,,,,,1207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,PA,President,All,2171035,1889848,,10967,4519,,,,827,1518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,PA,Senator,All,2069980,1893104,11113,15449,4761,,,,110,2503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,PA,Representative,1,64599,39770,,194,228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,PA,Representative,2,62844,39489,70,187,402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146,,,,,
1940,PA,Representative,3,77436,44757,,241,202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,PA,Representative,4,74458,42578,,347,396,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,270,65,,,
1940,PA,Representative,5,76724,60109,105,383,177,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,PA,Representative,6,82550,51313,,195,315,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,718,,,,,
1940,PA,Representative,7,76054,79416,,411,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,PA,Representative,8,58389,79601,229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,PA,Representative,9,50632,55919,173,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,PA,Representative,10,53333,72843,,,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,PA,Representative,11,65368,58831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,PA,Representative,12,101854,74305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,PA,Representative,13,68501,70647,,,,,845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,PA,Representative,14,48140,31839,183,4980,98,,699,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,PA,Representative,15,35696,54981,408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,PA,Representative,16,39988,61167,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,PA,Representative,17,45616,75006,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,PA,Representative,18,34328,46595,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,PA,Representative,19,62298,74420,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,PA,Representative,20,44914,64188,1096,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,PA,Representative,21,52530,40863,,,125,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,PA,Representative,22,60848,49532,600,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,PA,Representative,23,44263,57027,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,PA,Representative,24,54631,41641,202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,PA,Representative,25,58442,37357,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,PA,Representative,26,62273,64669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,PA,Representative,27,69736,75243,772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,PA,Representative,28,58772,44528,523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2175,,
1940,PA,Representative,29,41924,50147,370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,PA,Representative,30,62450,62097,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,PA,Representative,31,76819,59690,376,,335,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,,
1940,PA,Representative,32,62121,28196,,,216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,PA,Representative,33,70824,57737,160,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,PA,Representative,34,75004,64336,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,RI,President,All,181122,138214,74,,239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,RI,Senator,All,173927,141401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,RI,Representative,1,87327,64517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,RI,Representative,2,87253,74926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,SC,President,All,95470,1727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2496,137
1940,SC,Representative,1,16626,278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,SC,Representative,2,14920,206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,SC,Representative,3,15977,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,SC,Representative,4,23825,657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,SC,Representative,5,14754,120,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,SC,Representative,6,12074,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,SD,President,All,131362,177065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,SD,Representative,1,91967,135406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,SD,Representative,2,24127,47051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,TN,President,All,351601,169153,1606,463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,TN,Senator,All,295440,121790,,,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,TN,Representative,1,18051,39577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,TN,Representative,2,31663,41274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,TN,Representative,3,35332,16099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,TN,Representative,4,38278,4777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,TN,Representative,5,20933,3459,,,,,24565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,TN,Representative,6,24536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,TN,Representative,7,25590,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,TN,Representative,8,32002,,,,,2760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,TN,Representative,9,55952,,,,,2309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,TX,President,All,840151,199152,925,728,212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,TX,Senator,All,978095,59340,,,408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,TX,Representative,1,27030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,TX,Representative,2,43597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,TX,Representative,3,43139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,TX,Representative,4,46333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,TX,Representative,5,57789,8273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,TX,Representative,6,33546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,TX,Representative,7,30358,565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,TX,Representative,8,89796,4925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,TX,Representative,9,52754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,TX,Representative,10,48442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,TX,Representative,11,37227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,TX,Representative,12,54108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,TX,Representative,13,50076,1894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,TX,Representative,14,59009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,TX,Representative,15,31800,2628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,TX,Representative,16,34516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,TX,Representative,17,45456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
