Year,State,Race,Division,Total,Democrat,Republican,Prohibitionist,Socialist,Workers,Rep.-Prohib.,Scattering,Unaffiliated,Dem.-Rep.,Rep.-Dem.,Ind.,Farm.-Lab.,Soc.-Lab.,Anti-Smith,Ind. Rep.,National,Labor,Indus.,Dem.-Lab.,Rep.-Lab.,Lab.-Soc.,Dem.-Prohib.,Rep.-Lab.-Prohib.,Dem.-Lab.-Soc.,Rep.-Prohib.-Soc.,Rep.-Prohib.-Lab.,Dem.-Lab.-Prohib.,Rep.-Dem.-Prohib.,Communist,Ind. Labor
1928,PA,Representative,4,,,49877,117,440,,,,,,,,,,,,,,,31082,,,,,,,,,,,
1928,PA,Representative,5,,,,,479,,,11,,,110648,,,,,,,186,,,,,,,,,,,,,
1928,PA,Representative,6,,59410,89362,165,581,,,2,,,,,,,,,,,,,,,,,,,,,,,
1928,PA,Representative,7,,42217,91305,117,470,,,1,,,,,,,,,,82,,,,,,,,,,,,,
1928,PA,Representative,8,,34607,116266,1592,1,,,,,,,,,,,,,121,,,,,,,,,,,,,
1928,PA,Representative,9,,31389,102019,328,,,,,,,,,,,,,,,,,,,,,,,,,,,
1928,PA,Representative,10,,11395,,,,,,439,,,,,,,,,,,,,55623,,,,,,,,,,
1928,PA,Representative,11,,48017,,,,,48626,,,,,,,,,,,,,,,,,,,,,,,,
1928,PA,Representative,12,,,,,,,66661,,,,,,,,,,,,,70943,,,,,,,,,,,
1928,PA,Representative,13,,37243,46486,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1928,PA,Representative,14,,36176,76670,,,,,,,,,,,,,,,,,,,10950,,,,,,,,,
1928,PA,Representative,15,,,,3348,,,,4,,,50770,,,,,,,,,,,,,,,,,,,,
1928,PA,Representative,16,,16693,,,,,48041,7,,,,199,,,,,,,,,,,,,,,,,,,
1928,PA,Representative,17,,,45437,,,,,,,,,,,,,,,,,,,,30290,,,,,,,,
1928,PA,Representative,18,,13070,,,,,,1,,,,,,,,,,,,,,,,55736,,,,,,,
1928,PA,Representative,19,,19032,,606,,,,2,,,,,,,,,,,,,80291,,,,,,,,,,
1928,PA,Representative,20,,,29383,,,,,3,,,,,,,,,,,,,,,,,25737,,,,,,
1928,PA,Representative,21,,13420,,,,,,,,,,,,,,,,,,,,,,42965,,,,,,,
1928,PA,Representative,22,,25622,,,,,44198,,,,,,,,,,,,,,,,,,,,,,,,
1928,PA,Representative,23,,15219,,,,,,,,,,,,,,,,,,,,,,43294,,,,,,,
1928,PA,Representative,24,,23176,,,,,42118,,,,,,,,,,,232,,,,,,,,,,,,,
1928,PA,Representative,25,,24352,,,,,64160,2,,,,,,,,,,300,,,,,,,,,,,,,
1928,PA,Representative,26,,24352,,,,,64160,,,,,,,,,,,399,,,,,,,,,,,,,
1928,PA,Representative,27,,17433,,,,,52868,4,,,,,,,,,,,,,,,,,,,,,,,
1928,PA,Representative,28,,22443,,,,,,,,,,,,,,,,,,,,,,,,59096,,,,,
1928,PA,Representative,29,,28004,,,,,,1,,,,,,,,,,,,,,,,,,,42747,,,,
1928,PA,Representative,30,,,48421,,,,,1,,,,,,,,,,,,,,,,,,,,36612,,,
1928,PA,Representative,31,,,,,1437,,50981,,,,,,,,,,,800,,,,,,,,,,,,,
1928,PA,Representative,32,,26145,48837,387,,,,1,,,,,,,,,,195,,,,,,,,,,,,,
1928,PA,Representative,33,,,,,,,,7,,,,,,,,,,792,,,,,,,,,,,81328,,
1928,PA,Representative,34,,,,744,,,,,,,48638,,,,,,,560,,,,,,,,,,,,,
1928,PA,Representative,35,,30619,42450,718,,,,,,,,,,,,,,256,,,,,,,,,,,,,
1928,PA,Representative,36,,31151,,,,,48190,16,,,,,,,,,,616,,,,,,,,,,,,,
1928,RI,President,All,,118973,117522,,,283,,,,,,,,416,,,,,,,,,,,,,,,,,
1928,RI,Senator,All,,116234,119228,,,313,,,,,,,,,,,,,,,,,,,,,,,,,
1928,RI,Representative,1,,33902,42366,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1928,RI,Representative,2,,34947,43772,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1928,RI,Representative,3,,45605,34223,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1928,SC,President,All,,62700,3188,,47,,,,,,,,,,2670,,,,,,,,,,,,,,,,
1928,SC,Representative,1,,8469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1928,SC,Representative,2,,7648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1928,SC,Representative,3,,10917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1928,SC,Representative,4,,8873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1928,SC,Representative,5,,8911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1928,SC,Representative,6,,7757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1928,SC,Representative,7,,8772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1928,SD,President,All,,102660,157603,,443,232,,,,,,,927,,,,,,,,,,,,,,,,,,
1928,SD,Representative,1,,38093,54492,,,,,,749,,,,,,,,,,,,,,,,,,,,,,
1928,SD,Representative,2,,39914,54815,,,,,,995,,,,,,,,,,,,,,,,,,,,,,
1928,SD,Representative,3,,25437,33260,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1928,TN,President,All,,167343,195388,,631,111,,,,,,,,,,,,,,,,,,,,,,,,,
1928,TN,Senator,All,,175329,120259,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1928,TN,Representative,1,,7646,28152,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1928,TN,Representative,2,,13968,30917,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1928,TN,Representative,3,,25667,22405,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1928,TN,Representative,4,,17141,7999,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1928,TN,Representative,5,,12847,3126,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1928,TN,Representative,6,,24694,6220,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1928,TN,Representative,7,,16898,1268,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1928,TN,Representative,8,,17867,9184,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1928,TN,Representative,9,,20184,2217,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1928,TN,Representative,10,,21524,4961,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1928,TX,President,All,,341032,367036,,722,209,,,,,,,,,,,,,,,,,,,,,,,,,
1928,TX,Senator,All,,566139,129910,,690,,,,,,,,,,,,,,,,,,,,,,,,,114,
1928,TX,Representative,1,,24267,3349,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1928,TX,Representative,2,,38901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1928,TX,Representative,3,,22194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1928,TX,Representative,4,,23847,4488,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1928,TX,Representative,5,,42482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1928,TX,Representative,6,,26412,2714,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1928,TX,Representative,7,,21461,2827,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1928,TX,Representative,8,,43891,9739,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1928,TX,Representative,9,,24742,3718,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1928,TX,Representative,10,,27890,2457,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1928,TX,Representative,11,,21484,2141,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1928,TX,Representative,12,,30905,7921,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1928,TX,Representative,13,,30926,4026,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1928,TX,Representative,14,,29085,28766,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1928,TX,Representative,15,,28417,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
1928,TX,Representative,16,,31132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1928,TX,Representative,17,,41757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1928,TX,Representative,18,,58667,9137,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1928,UT,President,All,,80985,94618,,954,47,,,,,,,,,,,,,,,,,,,,,,,,,
1928,UT,Senator,All,,97436,77073,,998,,,,,,,,,,,,,,,,,,,,,,,,,,
1928,UT,Representative,1,,31889,50274,,408,,,,,,,,,,,,,,,,,,,,,,,,,,
1928,UT,Representative,2,,46025,46866,,439,,,,,,,,,,,,,,,,,,,,,,,,,,
1928,VT,President,All,,44440,9040,338,,,,9,,,,,,,,,,,,,,,,,,,,,,,
1928,VT,Senator,All,,37030,93136,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1928,VT,Representative,1,,25095,44082,744,,,,,,,,,,,,,,,,,,,,,,,,,,,
1928,VT,Representative,2,,11356,47141,940,,,,,,,,,,,,,,,,,,,,,,,,,,,
1928,VA,President,All,,140146,164609,,250,173,,,,,,,,180,,,,,,,,,,,,,,,,,
1928,VA,Senator,All,,275425,,,,,,436,,,,,,,,,,,,,,,,,,,,,,,
1928,VA,Representative,1,,23912,,,,,,85,,,,,,,,,,,,,,,,,,,,,,,
1928,VA,Representative,2,,14688,18614,,,,,,5,,,,,,,,,,,,,,,,,,,,,,
1928,VA,Representative,3,,23350,,,,,,,7418,,,,,,,,,,,,,,,,,,,,,,
1928,VA,Representative,4,,16904,,,,,,56,,,,,,,,,,,,,,,,,,,,,,,
1928,VA,Representative,5,,16672,14049,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
1928,VA,Representative,6,,25091,,,,,,65,,,,,,,,,,,,,,,,,,,,,,,
1928,VA,Representative,7,,15009,15243,,,,,,8,,,,,,,,,,,,,,,,,,,,,,
1928,VA,Representative,8,,24368,,,,,,220,,,,,,,,,,,,,,,,,,,,,,,
1928,VA,Representative,9,,31722,32696,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1928,VA,Representative,10,,14817,11230,,,,,,2,,,,,,,,,,,,,,,,,,,,,,
1928,WA,President,All,,156772,335844,,2615,1541,,,,,,,,4068,,,,,,,,,,,,,,,,,
1928,WA,Senator,All,,261524,227415,,,666,,,,,,,,,,,,,,,,,,,,,,,,,
1928,WA,Representative,1,,36858,70703,,413,,,,,,,,,,,,,,,,,,,,,,,,,,
1928,WA,Representative,2,,,59534,,,,,,,,,410,,,,,,,,,,,,,,,,,,,
1928,WA,Representative,3,,33217,77314,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1928,WA,Representative,4,,14512,48766,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1928,WA,Representative,5,,50323,35660,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1928,WV,President,All,,263784,375551,1703,1313,401,,,,,,,,,,,,,,,,,,,,,,,,,
1928,WV,Senator,All,,317620,327266,,919,,,,,,,,,,,,,,,,,,,,,,,,,,
1928,WV,Representative,1,,40666,62646,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1928,WV,Representative,2,,41640,52424,,115,,,,,,,,,,,,,,,,,,,,,,,,,,
1928,WV,Representative,3,,44477,45167,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1928,WV,Representative,4,,42057,55672,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1928,WV,Representative,5,,55376,63559,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1928,WV,Representative,6,,67845,67617,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1928,WI,President,All,,450259,544205,2245,18213,1528,,41,,,,,,381,,,,,,,,,,,,,,,,,
1928,WI,Senator,All,,81302,635379,21359,,1463,,92,,,,,,,,,,,,,,,,,,,,,,,3053
1928,WI,Representative,1,,20539,83064,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1928,WI,Representative,2,,23101,53530,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1928,WI,Representative,3,,20262,62938,1005,,,,,,,,,,,,,,,,,,,,,,,,,,,
1928,WI,Representative,4,,28956,37685,,18885,,,,,,,,,,,,,,,,,,,,,,,,,,
1928,WI,Representative,5,,24037,41265,,40536,169,,,,,,,,,,,,,,,,,,,,,,,,,
1928,WI,Representative,6,,24009,53952,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1928,WI,Representative,7,,18530,49590,400,,,,,,,,,,,,,,,,,,,,,,,,,,,
1928,WI,Representative,8,,16316,47848,488,,,,,,,,,,,,,,,,,,,,,,,,,,,
1928,WI,Representative,9,,33302,52300,967,,,,,,,,,,,,,,,,,,,,,,,,,,,
1928,WI,Representative,10,,13590,59314,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1928,WI,Representative,11,,11962,56586,1492,,,,,,,,,,,,,,,,,,,,,,,,,,,
1928,WY,President,All,,29299,52748,,788,,,,,,,,,,,,,,,,,,,,,,,,,,
1928,WY,Senator,All,,43032,37076,,333,,,,,,,,,,,,,,,,,,,,,,,,,,
1928,WY,Representative,All,,35972,38935,,333,,,,,,,,,,,,,,,,,,,,,,,,,,
