Year,State,Race,Division,Total,Democrat,Republican,Prohibitionist,Socialist,Dem.-Prohib.,Independent,Farmer-Labor,Soc.-Farm-Lab.,Forward,Ind. Rep.,Nonpartisan,Prog.,Nonp.,Labor,Peo.,Prohib.-Prog,Consumer's Nonp.,Soc.-Lab.,Third Party,by petition,Dem.-Farm-Lab.,Unaffiliated,Farm-Lab.-Prohib.,Indus.-Lab.,Single Tax,Scattering,Welfare,Voters' League,Roosevelt,Law and Order,Workers' Party,Ind. Dem.,Ind.-Soc. Lab.,Ind. Soc.,Ind. Prog. Rep.
1922,AL,Representative,1,,13960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922,AL,Representative,2,,9255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922,AL,Representative,3,,9141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922,AL,Representative,4,,9976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922,AL,Representative,5,,10411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922,AL,Representative,6,,4864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922,AL,Representative,7,,18597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922,AL,Representative,8,,12303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922,AL,Representative,9,,11300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922,AL,Representative,10,,13803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922,AZ,Senator,All,,39722,21358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922,AZ,Representative,All,,45121,14601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922,AR,Representative,1,,2553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922,AR,Representative,2,,4915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922,AR,Representative,3,,5327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922,AR,Representative,4,,7280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922,AR,Representative,5,,6191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922,AR,Representative,6,,3397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922,AR,Representative,7,,3269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922,CA,Senator,All,,215748,564422,70748,56982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922,CA,Representative,1,,53129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922,CA,Representative,2,,32981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922,CA,Representative,3,,,71316,,6561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922,CA,Representative,4,,,46527,,9547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922,CA,Representative,5,,,49414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922,CA,Representative,6,,22711,59858,,7616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922,CA,Representative,6v,,,,,,,77911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922,CA,Representative,7,,,67000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922,CA,Representative,8,,,57926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922,CA,Representative,9,,,66265,,,45794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922,CA,Representative,10,,,98739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922,CA,Representative,11,,,79039,,7466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922,CO,Representative,1,,25477,32939,,,,,959,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922,CO,Representative,2,,32443,43601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922,CO,Representative,3,,39500,43508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922,CO,Representative,4,,30331,16870,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922,CT,Senator,All,,147276,169524,,,,,,6161,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922,CT,Representative,1,,35003,40124,,,,,,1714,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922,CT,Representative,2,,24732,31484,,664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922,CT,Representative,3,,31674,36247,,1405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922,CT,Representative,4,,28992,35274,,1200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922,CT,Representative,5,,27065,27359,,653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922,DE,Senator,Early,,36954,36894,,,,,,,581,,,,,,,,,,,,,,,,,,,,,,,,,,
1922,DE,Senator,Late,,37304,36979,,608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922,DE,Representative,All,,39126,32577,,,,,,,908,,,,,,,,,,,,,,,,,,,,,,,,,,
1922,FL,Senator,All,,45707,,,,,,,,,6074,,,,,,,,,,,,,,,,,,,,,,,,,
1922,FL,Representative,1,,14371,2961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922,FL,Representative,2,,6931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922,FL,Representative,3,,7564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922,FL,Representative,4,,15678,3362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922,GA,Senator,All,,75838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922,GA,Representative,1,,5579,622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922,GA,Representative,2,,5449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922,GA,Representative,3,,7298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922,GA,Representative,4,,4777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922,GA,Representative,5,,6646,,,,,,,,,,347,,,,,,,,,,,,,,,,,,,,,,,,
1922,GA,Representative,6,,6961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922,GA,Representative,7,,7584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922,GA,Representative,8,,5148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922,GA,Representative,9,,11088,639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922,GA,Representative,10,,4639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922,GA,Representative,11,,6882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922,GA,Representative,12,,5020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922,ID,Representative,1,,13772,24167,,,,,,,,,,13673,,,,,,,,,,,,,,,,,,,,,,,
1922,ID,Representative,2,,19875,33206,,,,,,,,,,16450,,,,,,,,,,,,,,,,,,,,,,,
1922,IL,Representative,1,,15999,23895,,427,,,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922,IL,Representative,2,,38487,58694,,3055,,,637,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922,IL,Representative,3,,47335,48486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922,IL,Representative,4,,32403,13328,,1119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922,IL,Representative,5,,20377,9007,,1130,,,132,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922,IL,Representative,6,,58928,58886,,4341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922,IL,Representative,7,,61035,69367,,7276,,,1665,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922,IL,Representative,8,,18749,9311,,542,,,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922,IL,Representative,9,,16223,26143,,1176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922,IL,Representative,10,,35535,62324,,2614,,,792,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922,IL,Representative,11,,18816,43581,,966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922,IL,Representative,12,,11733,46893,,1838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922,IL,Representative,13,,12319,30064,,561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922,IL,Representative,14,,21541,34946,,979,,,857,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922,IL,Representative,15,,23298,36547,,997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922,IL,Representative,16,,30395,39372,,972,,,643,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922,IL,Representative,17,,22233,28466,,389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922,IL,Representative,18,,30123,35880,,542,,,1357,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922,IL,Representative,19,,32529,39636,,765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922,IL,Representative,20,,31430,23541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922,IL,Representative,21,,37661,33086,,1194,,,4438,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922,IL,Representative,22,,31539,34224,,1174,,,4980,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922,IL,Representative,23,,38908,34610,,556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922,IL,Representative,24,,28252,29141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922,IL,Representative,25,,28697,37907,,1170,,,1943,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922,IL,Representative,At Large,,1328642,1855283,,71966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922,IL,Representative,Vacancy,,710716,865971,,36123,,,32890,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922,IN,Senator,All,,558169,524558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922,IN,Representative,1,,42807,35835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922,IN,Representative,2,,43632,42752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922,IN,Representative,3,,43334,37202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922,IN,Representative,4,,43749,41825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922,IN,Representative,5,,37748,38759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922,IN,Representative,6,,36818,39281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922,IN,Representative,7,,41118,49629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922,IN,Representative,8,,39169,43470,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922,IN,Representative,9,,42074,46919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922,IN,Representative,10,,30835,45590,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922,IN,Representative,11,,45389,39285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922,IN,Representative,12,,34457,36045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922,IN,Representative,13,,43053,50003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922,IA,Senator,All,,227833,389751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922,IA,Representative,1,,14056,26651,,,,302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922,IA,Representative,2,,25620,27450,,,,367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922,IA,Representative,3,,24304,34518,,,,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922,IA,Representative,4,,24532,32586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922,IA,Representative,5,,15825,33607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922,IA,Representative,6,,17489,28702,,,,213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922,IA,Representative,7,,19987,34012,,,,606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922,IA,Representative,8,,23478,30551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922,IA,Representative,9,,19722,31757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922,IA,Representative,10,,16781,41290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922,IA,Representative,11,,24027,36050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922,KS,Representative,1,,22480,39463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922,KS,Representative,2,,34816,41482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922,KS,Representative,3,,37829,38321,,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922,KS,Representative,4,,17294,29657,,887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922,KS,Representative,5,,24881,32064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922,KS,Representative,6,,26666,33464,,1731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922,KS,Representative,7,,32159,47515,,1825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922,KS,Representative,8,,37581,22721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922,KY,Representative,1,,10668,4961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922,KY,Representative,2,,15933,8897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922,KY,Representative,3,,22499,15639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922,KY,Representative,4,,19142,,,,,,1429,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922,KY,Representative,5,,35125,38806,,,,,5154,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922,KY,Representative,6,,18131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922,KY,Representative,7,,9389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922,KY,Representative,8,,21296,15802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922,KY,Representative,9,,24116,15802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922,KY,Representative,10,,13668,17067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922,KY,Representative,11,,11396,38086,,,,,2670,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922,LA,Representative,1,,14760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922,LA,Representative,2,,12287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922,LA,Representative,3,,1954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922,LA,Representative,4,,3618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922,LA,Representative,5,,2188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922,LA,Representative,6,,3317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922,LA,Representative,7,,3069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922,LA,Representative,8,,2987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922,ME,Senator,All,,74660,101026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922,ME,Representative,1,,18312,26050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922,ME,Representative,2,,22150,25719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922,ME,Representative,3,,21828,30655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922,ME,Representative,4,,11997,18641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922,MD,Senator,All,,160947,139581,,2479,,,,,,,,,,2909,,,,,,,,,,,,,,,,,,,,,
1922,MD,Representative,1,,27117,21524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922,MD,Representative,2,,36565,31053,,867,,,,,,,,,,774,,,,,,,,,,,,,,,,,,,,,
1922,MD,Representative,3,,12454,27740,,687,,,,,,,,,,357,,,,,,,,,,,,,,,,,,,,,
1922,MD,Representative,4,,33322,18972,,767,,,,,,,,,,966,,,,,,,,,,,,,,,,,,,,,
1922,MD,Representative,5,,21112,23764,,,,484,,,,,,,,450,1015,,,,,,,,,,,,,,,,,,,,
1922,MD,Representative,6,,20838,22261,,770,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922,MA,Senator,All,,406776,414130,,11678,,7836,,,,,,4862,,,,24866,,,,,,,,,,,,,,,,,,,
1922,MA,Representative,1,,25529,26229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922,MA,Representative,2,,19376,28639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922,MA,Representative,3,,19311,26944,,,,,,,,,,,,,,,1549,,,,,,,,,,,,,,,,,,
1922,MA,Representative,4,,29399,32942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922,MA,Representative,5,,18936,33643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922,MA,Representative,6,,10895,36426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922,MA,Representative,7,,30493,23978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922,MA,Representative,8,,21893,42248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922,MA,Representative,9,,22867,31229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922,MA,Representative,10,,21029,5422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922,MA,Representative,11,,21999,33396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922,MA,Representative,12,,42779,13575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922,MA,Representative,13,,,50710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922,MA,Representative,14,,24014,41490,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922,MA,Representative,15,,18662,25179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922,MA,Representative,16,,20021,23862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922,MI,Senator,All,,294932,281843,1936,4249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922,MI,Representative,1,,22996,17722,,686,,,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922,MI,Representative,2,,23393,31509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922,MI,Representative,3,,15226,23869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922,MI,Representative,4,,13772,26050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922,MI,Representative,5,,10501,25853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922,MI,Representative,6,,29241,46791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922,MI,Representative,7,,13431,35328,,119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922,MI,Representative,8,,19538,33864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922,MI,Representative,9,,,21703,,980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922,MI,Representative,10,,,23792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922,MI,Representative,11,,10823,24390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922,MI,Representative,12,,6784,26228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922,MI,Representative,13,,11948,28871,,526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922,MN,Senator,All,,123624,241833,,,,,325372,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922,MN,Representative,1,,27316,36698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922,MN,Representative,2,,,47591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922,MN,Representative,3,,18462,42708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922,MN,Representative,4,,20187,33259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922,MN,Representative,5,,38760,45221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922,MN,Representative,6,,,37201,,,,23915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922,MN,Representative,7,,,28918,,,,42832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922,MN,Representative,8,,28757,32420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922,MN,Representative,9,,27590,,,,,,35551,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922,MN,Representative,10,,,53424,,,,,,,,,,12842,,,,,,,,,,,,,,,,,,,,,,,
1922,MS,Senator,All,,63639,3632,,1273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922,MS,Representative,1,,9407,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922,MS,Representative,2,,7985,450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922,MS,Representative,3,,4403,136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922,MS,Representative,4,,9260,170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922,MS,Representative,5,,11336,388,,,,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922,MS,Representative,6,,12640,238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922,MS,Representative,7,,5842,159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922,MS,Representative,8,,5609,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922,MO,Senator,All,,506264,426009,,7119,,,,,,,,,,,,,,970,,,,,,,,,,,,,,,,,
1922,MO,Representative,1,,30102,23577,,236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922,MO,Representative,2,,34041,21016,,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922,MO,Representative,3,,25997,23919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922,MO,Representative,4,,26394,28110,,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922,MO,Representative,5,,62702,55262,,328,,,,,,,,,,,,,,115,,,,,,,,,,,,,,,,,
1922,MO,Representative,6,,27038,23492,,192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922,MO,Representative,7,,36950,35627,,334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922,MO,Representative,8,,21559,25951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922,MO,Representative,9,,30063,23058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922,MO,Representative,10,,46704,71827,,2134,,,,,,,,,,,,,,172,,,,,,,,,,,,,,,,,
1922,MO,Representative,11,,24839,17188,,461,,,,,,,,,,,,,,49,,,,,,,,,,,,,,,,,
