Year,State,Race,Division,Democrat,Republican,Libertar.,Ind.,Soc. Work.,Comm.,Other,Write-In,Populist,Work. League,New Alli.
1988,CA,Representative,All,4944646,4173715,163537,7947,,,89494,1901,,,
1988,CO,Representative,All,645469,667091,,,,,2911,,,,
1988,CT,Representative,All,660360,676817,,1054,,,2379,,,,
1988,DE,Representative,All,158338,76179,,,,,,,,,
1988,FL,Representative,All,1430881,1615567,,,,,,594,,,
1988,GA,Representative,All,1115343,556817,,,,,,18,,,
1988,HI,Representative,All,221196,96848,21784,,,,,,,,
1988,ID,Representative,All,198284,203447,5703,,,,,,,,
1988,IL,Representative,All,2317444,2022568,,,,1937,2000,,,,
1988,IN,Representative,All,1096834,1023124,,,,,,,,,
1988,IA,Representative,All,580200,606647,,,,,1670,241,,,
1988,KS,Representative,All,366757,565308,,,,,,,,,
1988,KY,Representative,All,534313,564433,,6106,,,,99,,,
1988,LA,Representative,All,88564,116241,,,,,,,,,
1988,ME,Representative,All,276335,278351,,,,,,198,,,
1988,MD,Representative,All,936963,624021,,,,,,,,,
1988,MA,Representative,All,1787467,509360,34339,,,,38446,1270,,,
1988,MI,Representative,All,1824103,1604946,18054,,,,9215,75,,,
1988,MN,Representative,All,1148700,809624,,,2818,,6468,1480,,,
1988,MS,Representative,All,606715,307585,,3849,,,,,,,
1988,MO,Representative,All,1148292,909599,12188,,,,,107,,,
1988,MT,Representative,All,193347,171870,,,,,,,,,
1988,NE,Representative,All,229524,425726,,,,,,1028,,,
1988,NV,Representative,All,176927,159569,7677,,,,,,,,
1988,NH,Representative,All,176300,251566,,1454,,,,179,,,
1988,NJ,Representative,All,1336325,1411840,9215,1546,5573,442,11163,,,,
1988,NM,Representative,All,209076,236263,3889,,,,,,,,
1988,NY,Representative,All,2870952,2249694,,6898,,,378360,,,,
1988,NC,Representative,All,1108311,876362,,,,,,,,,
1988,ND,Representative,All,212583,84475,2924,,,,,,,,
1988,OH,Representative,All,2098271,2123098,,,,,,610,,,
1988,OK,Representative,All,405665,361538,,,,,,,,,
1988,OR,Representative,All,664564,357701,,,,,,1331,,,
1988,PA,Representative,All,2117078,2069885,3765,1348,,,5098,,,,
1988,RI,Representative,All,140270,250724,,,,,,,,,
1988,SC,Representative,All,549652,439476,2244,,,,,,,,
1988,SD,Representative,All,223759,88157,,,,,,,,,
1988,TN,Representative,All,844210,536480,,28522,,,,109,,,
1988,TX,Representative,All,2735940,1834135,98602,,,,,1013,,,
1988,UT,Representative,All,260123,341056,2997,,1207,,3285,,,,
1988,VT,Representative,All,45330,98937,3110,90026,,,2525,203,,,
1988,VA,Representative,All,801831,1076895,,10738,,,,1364,,,
1988,WA,Representative,All,988386,742844,,,,,,,,,
1988,WV,Representative,All,436616,131963,,,,,,,,,
1988,WI,Representative,All,1035249,997265,,1893,,,,1075,,,
1988,WY,Representative,All,56527,118350,1906,,,,868,,,,
