Year,State,Race,Division,Rep.,Dem.,Libertar.,Ind.,Green,Constit.,Other,Write-In
2016,DE,Representative,All,172301,233554,6436,,8326,,,
2016,FL,Representative,All,4733630,3985050,9395,109166,,,,185
2016,GA,Representative,All,2272460,1498437,,,,,,1965
2016,HI,Representative,All,85626,316265,6601,,,,29172,
2016,ID,Representative,All,447544,208992,,,,25005,,53
2016,IL,Representative,All,2397436,2810536,,,33437,,,358
2016,IN,Representative,All,1442989,1052901,162460,,,,,17
2016,IA,Representative,All,813153,673969,15372,10866,,,,2195
2016,KS,Representative,All,694240,317635,74227,86760,,,,874
2016,KY,Representative,All,1248140,516904,,,,,,332
2016,LA,Representative,All,1177543,530050,19945,11548,6717,,3218,
2016,ME,Representative,All,357447,386627,,,,,27254,500
2016,MD,Representative,All,962088,1636200,60492,,44405,,,4560
2016,MA,Representative,All,451121,2344518,27511,83737,,,33801,
2016,MI,Representative,All,2243402,2193890,131155,16610,44624,,41025,109
2016,MN,Representative,All,1334679,1434559,,,,,86781,4370
2016,MS,Representative,All,680810,449896,20868,6918,,,23781,
2016,MO,Representative,All,1600524,1041306,96492,,8136,3605,,16
2016,MT,Representative,All,285358,205919,16554,,,,,
2016,NE,Representative,All,557557,221069,9640,,,,,
2016,NV,Representative,All,498104,508113,10206,29708,,,32366,
2016,NH,Representative,All,316001,336451,5507,57885,,,431,218
2016,NJ,Representative,All,1541631,1821620,36712,,4047,5938,53363,
2016,NM,Representative,All,343124,436932,,,,,,70
2016,NY,Representative,All,2140917,4202200,,,28193,,747004,
2016,NC,Representative,All,2447326,2142661,8471,,,,,
2016,ND,Representative,All,233980,80377,23528,,,,,574
2016,OH,Representative,All,2996017,2154523,,32584,27353,,,7878
2016,OK,Representative,All,781691,305222,29687,16644,,,,
2016,OR,Representative,All,730894,1026851,18784,78154,24736,,32446,
2016,PA,Representative,All,3096576,2625157,22245,,,,,
2016,RI,Representative,All,141324,263642,,25195,,,,1358
2016,SC,Representative,All,1177365,767627,14745,,12671,5103,32110,2125
2016,SD,Representative,All,237163,132810,,,,,,
2016,TN,Representative,All,1493740,814181,,83134,,,,6
2016,TX,Representative,All,4877605,3160535,360066,,130254,,,66
2016,UT,Representative,All,710635,356287,16296,4850,,26076,,
2016,VT,Representative,All,,264414,,,,,54543,1510
2016,VA,Representative,All,1843010,1859426,,36580,,,,42552
2016,WA,Representative,All,1404890,1736145,,,,,,
2016,WV,Representative,All,445017,224449,16883,,,,,
2016,WI,Representative,All,1270279,1379996,54993,53210,,,14997,187
2016,WY,Representative,All,156176,75466,9033,,,10362,7012,739
