Year,State,Race,Division,Democrat,Republican,Prohibitionist,Socialist,Ind.,Soc.-Lab.,Am. Lab,Lib.,Prog.,Const.,Other,Scattering,Ind. Dem.,Am. First,DFL,Indus. Gvt.,Reg. Dems.,Ind. Rep.,Nat. Prohib.,South. Dem.,Tolb. Rep.,Texas Reg.
1944,VT,Senator,All,42136,81094,,,,,,,,,,18,,,,,,,,,,
1944,WA,Senator,All,452013,364356,1598,1912,,,,,,,,,,,,,,,,,,
1944,WI,Senator,All,537144,634513,,9964,,1664,,,73089,,,106,,,,,,,,,,
1944,AL,Representative,All,200462,21876,,,,,,,,,,,,,,,,,,,,
1944,AK,Delegate,All,7252,3762,,,,,,,,,,,,,,,,,,,,
1944,AZ,Representative,All,88532,39035,169,,,,,,,,,,,,,,,,,,,
1944,AR,Representative,All,200692,16515,,,,,,,,,,,,,,,,,,,,
1944,CA,Representative,All,1519190,1479443,6309,,,,,,,,,2557,,,,,,,,,,
1944,CO,Representative,All,210275,281578,,1260,749,,,,,,,,,,,,,,,,,
1944,CT,Representative,All,420505,402163,,2448,,,,,,,,107,,,,,,,,,,
1944,DE,Representative,All,63649,62378,413,,,,,,,,,,,,,,,,,,,
1944,FL,Representative,All,353170,63183,,,,,,,,,,,,,,,,,,,,
1944,GA,Representative,All,271442,,,,2929,,,,,,,3,,,,,,,,,,
1944,HI,Representative,All,,52074,,,,,,,,,,,,,,,,,,,,
1944,ID,Representative,All,105830,99749,,,,,,,,,,,,,,,,,,,,
1944,IL,Representative,All,1933888,1939543,,,1414,,,,,,,,,,,,,,,,,
1944,IN,Representative,All,767157,872720,10958,381,,,,,,,,,,,,,,,,,,
1944,IA,Representative,All,420340,552046,,373,,,,,,,,,,,,,,,,,,
1944,KS,Representative,All,245860,418332,,,,,,,,,,,,,,,,,,,,
1944,KY,Representative,All,459936,381552,2191,164,,,,,,,,,,,,,,,,,,
1944,LA,Representative,All,282569,,,,,,,,,,,,,,,,,,,,,
1944,ME,Representative,All,53861,129910,,,,,,,,,,,,,,,,,,,,
1944,MD,Representative,All,310811,240129,,,,,,,,,,,,,,,,,,,,
1944,MA,Representative,All,887982,1001660,,,,,,,,,,111,,,,,,,,,,
1944,MI,Representative,All,1028171,1126956,5302,1305,,,,,,,1753,,,,,,,,,,,
1944,MN,Representative,All,452945,653150,,,,,,,,,3014,,,,,,,,,,,
1944,MS,Representative,All,147579,5133,,,,,,,,,,,,,,,,,,,,
1944,MO,Representative,All,797940,722336,,,,136,,,,,,,,,,,,,,,,
1944,MT,Representative,All,118131,77513,,1573,,,,,,,,,,,,,,,,,,
1944,NE,Representative,All,165749,336400,,,,,,,,,12777,,,,,,,,,,,
1944,NV,Representative,All,32648,19096,,,,,,,,,,,,,,,,,,,,
1944,NH,Representative,All,102374,113448,,,35,,,,,,,,,,,,,,,,,
1944,NJ,Representative,All,860326,988108,7781,921,,204,,,,,2085,,,,,,,,,,,
