Year,State,Race,Division,Democrat,Republican,Prohibitionist,Ind.,Lib.,Soc.-Lab.,Soc. Work.,Write-In,Other,Scattering,Nat. St.
1964,IN,Representative,All,1094999,977548,734,,,,,,,,
1964,IA,Representative,All,622844,516929,,,,,,,1791,7,
1964,KS,Representative,All,362162,451526,,,,,,,,,
1964,KY,Representative,All,618489,336696,,,,,,,,,
1964,LA,Representative,All,429567,171137,,,,,,,,,
1964,ME,Representative,All,206126,163376,,,,,,,,,
1964,MD,Representative,All,636445,375746,,,,,,,,,
1964,MA,Representative,All,1313448,787292,,7440,,,,,,154,
1964,MI,Representative,All,1767716,1289291,1504,,,,1127,,,12,
1964,MN,Representative,All,826879,693118,,,,,,1311,,,
1964,MS,Representative,All,325950,35277,,,,,,,,,
1964,MO,Representative,All,1113512,664561,,201,,,,,,,
1964,MT,Representative,All,136308,139658,,,,,,,644,,
1964,NE,Representative,All,272922,288153,,,,,,,,13,
1964,NV,Representative,All,82748,47989,,,,,,,,,
1964,NH,Representative,All,141282,138016,,,,,,,,,
1964,NJ,Representative,All,1482674,1227600,,,,,1400,,,7998,
1964,NM,Representative,All,194407,154780,,,,,,,,,
1964,NY,Representative,All,3720661,2698888,,,289012,,,,54703,,
1964,NC,Representative,All,787902,516340,,,,,,,,,
1964,ND,Representative,All,123959,124453,,659,,,,,,,
1964,OH,Representative,All,1886763,1845598,,,,,,,,,
1964,OK,Representative,All,529728,310563,,,,,,,,,
1964,OR,Representative,All,461690,305682,,,,,,385,,,
1964,PA,Representative,All,2515861,2006222,,,,,,,,,
1964,RI,Representative,All,278430,94657,,,,,,,,,
1964,SC,Representative,All,386738,48970,,,,,,2501,,,
1964,SD,Representative,All,123265,164448,,,,,,,,,
1964,TN,Representative,All,581011,441300,,12487,,,,,,,
1964,TX,Representative,All,1797298,819890,,,,,,,,,
1964,UT,Representative,All,209522,186498,,,,,,,,,
1964,VT,Representative,All,68987,186498,,,,,,,,7,
1964,VA,Representative,All,536527,322570,,69610,,,,,,25,
1964,WA,Representative,All,613420,583765,,,,,,,,,
1964,WV,Representative,All,450202,320183,,,,,,,,,
1964,WI,Representative,All,858858,789809,,,,,,,,164,
1964,WY,Representative,All,70693,68482,,,,,,,,,
