Year,State,Race,Division,Democrat,Republican,Prohibitionist,Ind.,Lib.,Soc.-Lab.,Const.,Write-In,Other,Scattering,Nat. St.,Conserv.,Soc. Work.
1960,DE,Representative,All,98227,96337,,,,,,,,,,,
1960,FL,Representative,All,861261,386513,,,,,,,,,,,
1960,GA,Representative,All,549405,24551,,,,,,316,,,,,
1960,HI,Representative,All,135827,46812,,,,,,,,,,,
1960,ID,Representative,All,159024,131266,,,,,,,,,,,
1960,IL,Representative,All,2399523,2235048,,,,,,2,,,,,
1960,IN,Representative,All,1032683,1087942,,,,,,,,,,,
1960,IA,Representative,All,563358,662864,,,,,,,,,,,
1960,KS,Representative,All,398892,471995,,,,,,,,,,,
1960,KY,Representative,All,539253,373773,,,,,,,,,,,
1960,LA,Representative,All,441523,77938,,,,,,,,,,,
1960,ME,Representative,All,177442,230834,,,,,,418,,,,,
1960,MD,Representative,All,582315,398490,,,,,,,,,,,
1960,MA,Representative,All,1378382,880079,511,,,,,,40,,,,
1960,MI,Representative,All,1638588,1567845,2442,,,1413,,,1255,2,,,
1960,MN,Representative,All,759893,749770,,,,,,5459,,,,,
1960,MS,Representative,All,252741,5036,,,,,,,,,,,
1960,MO,Representative,All,1062939,780432,,,,,,,,,,,
1960,MT,Representative,All,138588,133624,,,,,,,,,,,
1960,NE,Representative,All,252931,327606,,,,,,,,,,,
1960,NV,Representative,All,59616,43986,,,,,,,,,,,
1960,NH,Representative,All,118862,165819,,,,,,,,,,,
1960,NJ,Representative,All,1275882,1361844,,1394,4403,,,15502,,,,,
1960,NM,Representative,All,176514,124101,851,,,,,,,,,,
1960,NY,Representative,All,3361718,3263706,,,394326,,,,,,,,
1960,NC,Representative,All,786983,515488,,,,,,,,,,,
1960,ND,Representative,All,120963,135579,,,,,,,,,,,
1960,OH,Representative,All,1766362,2080260,,,,,,,,,,,
1960,OK,Representative,All,459463,379131,,,,,,,,,,,
1960,OR,Representative,All,389569,372187,,,,,,,,,,,
1960,PA,Representative,All,2554885,2396322,1037,,,,,,1851,,,,
1960,RI,Representative,All,268706,123532,,,,,,,,,,,
1960,SC,Representative,All,328326,,,,,,,112,,,,,
1960,SD,Representative,All,132421,168583,,,,,,,,,,,
1960,TN,Representative,All,440111,202711,,,,,,5,,,,,
1960,TX,Representative,All,1681305,297230,,,,,61503,,,,,,
1960,UT,Representative,All,186710,182752,,,,,,,,,,,
1960,VT,Representative,All,71111,94905,,,,,,,,,,,
1960,VA,Representative,All,411015,199656,,,,,,14907,12700,1669,,,
1960,WA,Representative,All,478208,646517,,,,,,,,,,,
1960,WV,Representative,All,468128,352353,,,,,,,,,,,
1960,WI,Representative,All,813217,845994,,,,,,3624,,258,,,
1960,WY,Representative,All,64447,70241,,,,,,,,,,,
