Year,State,Race,Division,Democrat,Republican,Prohibitionist,Socialist,Scattering,Dem.-Rep.,Rep.-Dem.,Prohib.-Dem.,Rep.-Dem.-Prohib.,Farm-Lab.,Soc.-Wet Mod.- Com. Land,Peoples Constitutional Rights,Work. Com.,Unaffiliated,Rep. (delegate convention),Prog.,Dem.-Prog.,Ind. Rep.,Light Wines and Beer,Ind. Dem.,Soc.-Lab.,High Life,Ind.,Com. Land,Workers,Modification Volstead Act,La Follette Ind.,Lab.,Rep.-Prog.,Rep.-Soc.,T. R. I,Dem.-Lab.,Rep.-Lab.-Prohib.,Rep.-Prohib.,Rep.-Dem.-Lab.-Soc.,Lab.-Soc.,Rep.-Dem.-Lab.-Soc.-Prohib.,Dem.-Soc.,Rep.-Lab.,Dem.-Lab.-Soc.,Rep.-Lab.-Soc.-Prohib.,Rep.-Soc.-Prohib.,Rep.-Lab.-Soc.,Dem.-Prohib.,Rep.-Dem.-Soc.-Prohib.,Rep.-Dem.-Lab.-Prohib.,Rep.-Dem.-Lab.,Lab.-Prohib.,Ind. Prog. Rep.,Ind. Soc.-Lab.,Radical
1926,TX,Representative,2,11272,531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1926,TX,Representative,3,11376,1098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1926,TX,Representative,4,13499,1524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1926,TX,Representative,5,29687,1087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1926,TX,Representative,6,10162,409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1926,TX,Representative,7,7678,478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1926,TX,Representative,8,8459,842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1926,TX,Representative,9,10577,2228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1926,TX,Representative,10,12051,886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1926,TX,Representative,11,8481,526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1926,TX,Representative,12,10466,620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1926,TX,Representative,13,12068,698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1926,TX,Representative,14,10633,14224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1926,TX,Representative,15,13548,2823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1926,TX,Representative,16,14787,2490,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1926,TX,Representative,17,15159,1009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1926,TX,Representative,18,18622,1265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1926,UT,Senator,All,53809,88101,,1310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1926,UT,Representative,1,28198,44007,,426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1926,UT,Representative,2,27006,42073,,835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1926,VT,Senator,All,,,,,52,18890,,,,,,,,,,,,,,,,,,,,,,,,,,,,52286,,,,,,,,,,,,,,,,,
1926,VT,Representative,1,10529,27419,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1926,VT,Representative,2,6753,27711,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1926,VA,Representative,1,3847,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1926,VA,Representative,2,7741,4093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1926,VA,Representative,3,3738,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1926,VA,Representative,4,2694,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1926,VA,Representative,5,6491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1926,VA,Representative,6,2936,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1926,VA,Representative,7,8302,3758,,,1,,,,,,,,,727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1926,VA,Representative,8,5655,265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1926,VA,Representative,9,28305,24684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1926,VA,Representative,10,4655,171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1926,WA,Senator,All,148783,164130,,,,,,,,3437,,,,,,,,,,,3513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1926,WA,Representative,1,34401,35944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1926,WA,Representative,2,15876,35510,,,,,,,,,,,,,,,,,,,,,454,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1926,WA,Representative,3,,58361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1926,WA,Representative,4,,34199,,,,,,,,,,,,,,,,,,,,,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1926,WA,Representative,5,29157,26783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1926,WV,Representative,1,29117,31839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1926,WV,Representative,2,27744,32803,,163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1926,WV,Representative,3,31954,29719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1926,WV,Representative,4,33065,36394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1926,WV,Representative,5,38723,44263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1926,WV,Representative,6,45681,45898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1926,WI,Senator,All,66672,299759,9885,31317,130,,,,,,,,,,,,,,,,,,23822,,,,,,,,,,,,,,,,,,,,,,,,,,111122,3061,
1926,WI,Representative,1,,50531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1926,WI,Representative,2,8285,29785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4817,,
1926,WI,Representative,3,,41666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1926,WI,Representative,4,7099,20324,,14911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1926,WI,Representative,5,3394,24297,,26377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1926,WI,Representative,6,10895,34445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1926,WI,Representative,7,,32479,1613,,,,,,,,,,,,,,,,,3628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1926,WI,Representative,8,,32472,,,,,,,,,,,,,,,,,,3130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1926,WI,Representative,9,,41498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1926,WI,Representative,10,,40888,1108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1926,WI,Representative,11,,31105,1368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11860,,
1926,WY,Representative,All,25082,39392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300
