Year,State,Race,Division,Democrat,Republican,Am. Ind.,Peace Free.,Soc. Work.,Soc.-Lab.,Prohib.,Lib.,Conserv.,Write-In,Scattering,Other
1968,CA,Representative,All,3036602,3741454,55920,46294,,,,,,,,
1968,CO,Representative,All,362164,392769,25499,,,,,,,,,
1968,CT,Representative,All,625278,569957,9300,,,,,,,,36,3370
1968,DE,Representative,All,82993,117827,,,,,,,,,,
1968,FL,Representative,All,1011749,757907,,,,,,,,5,,
1968,GA,Representative,All,750538,194129,,,,,,,,166,,
1968,HI,Representative,All,161954,78733,,2432,,,,,,,,
1968,ID,Representative,All,116258,155899,4377,,,,,,,,,
1968,IL,Representative,All,2053892,2368310,,,,,,,,21,,
1968,IN,Representative,All,943806,1094964,,,,,351,,,15,,
1968,IA,Representative,All,513529,609875,,,,,,,,,7,
1968,KS,Representative,All,309551,507733,,,,,,,,,4,
1968,KY,Representative,All,440974,421010,1353,,,,,,,,,1721
1968,LA,Representative,All,511355,118026,,,,,,,,,,
1968,ME,Representative,All,215870,168347,,,,,,,,,,
1968,MD,Representative,All,535819,483829,,,,,,,,,,
1968,MA,Representative,All,1032731,971190,53047,,,,,,,,477,
1968,MI,Representative,All,1532693,1506972,,,2080,1139,,,,,,795
1968,MN,Representative,All,731536,801209,,,552,,,,,,,747
1968,MS,Representative,All,415021,33683,,,,,,,,,,
1968,MO,Representative,All,959354,760123,953,,,,,,,,,
1968,MT,Representative,All,114726,148750,,,,,,,,,,
1968,NE,Representative,All,208356,309218,,,,,,,,,63,4534
1968,NV,Representative,All,104136,40209,,,,,,,,,,
1968,NH,Representative,All,93901,188878,,,,,,,,,,
1968,NJ,Representative,All,1288447,1364409,318,,495,5240,,,16657,,,22474
1968,NM,Representative,All,147975,160374,,,,,,,,,,1487
1968,NY,Representative,All,2806428,2601805,1778,6147,,,,271095,402780,,,4410
1968,NC,Representative,All,765055,633012,,,,,,,,,,
1968,ND,Representative,All,85347,140076,,,,,,,,,,3692
1968,OH,Representative,All,1428021,2207658,,,,,,,,598,,
1968,OK,Representative,All,444995,364866,,,,,,,,,,
1968,OR,Representative,All,370036,417107,,,,,,,,,,
1968,PA,Representative,All,2286363,2230052,,,,,,,,,,60958
1968,RI,Representative,All,221989,140896,,,,,,,,,,1893
1968,SC,Representative,All,416181,203902,,,,,,,,5,,7749
1968,SD,Representative,All,112421,159219,,,,,,,,,,
1968,TN,Representative,All,485833,507996,14806,,,,,,,23,,4764
1968,TX,Representative,All,1720408,675574,,,,,,,,,,
1968,UT,Representative,All,146213,269583,,,,,,,,,,
1968,VT,Representative,All,61720,95236,,,,,,,,,143,
1968,VA,Representative,All,621065,600893,,,,,,,2830,,661,43425
1968,WA,Representative,All,623630,576072,,2643,,,,,1736,,,
1968,WV,Representative,All,434140,277925,,,,,,,,,,
1968,WI,Representative,All,741661,895388,877,,,,,,1944,,49,
1968,WY,Representative,All,45950,77363,,,,,,,,,,
